uuid,timestamp_start,env_iaq_index,env_iaq_accuracy,env_pressure,env_temperature,env_humidity,timestamp_prod_start,prod_obj_temp,prod_amb_temp,prod_plt_temp,timestamp_prod_end,timestamp_qual_start,qual_obj_temp,qual_amb_temp,qual_weight,qual_color,qual_height,timestamp_qual_end,timestamp_end
54f145d2-e871-4bb9-8f9f-ee72e2ced9cd,2022-01-27T09:15:54.499085,92,3,1006.69,20.89,28.28,,18.4,19.8,18.54,,,19,19,304,,,,
a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded,2022-01-27T09:17:32.314592,92,3,1006.72,20.92,28.28,,19.1,19.9,33.32,,,20.1,20.1,304,,,,
3fad8ca6-c3f5-4646-8d13-4d12c23bce4b,2022-01-27T09:19:40.265449,89,3,1006.71,20.95,28.12,,20,20,66.63,,,20.2,20.2,417,,,,
c047f085-5295-487c-983b-822973db31d8,2022-01-27T09:21:17.686957,88,0,1006.71,20.96,28.13,,20.1,20.1,69.02,,,18.9,18.9,271,,,,
d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc,2022-01-27T09:22:55.582707,88,0,1006.69,21,28.08,,21.5,20.3,70.03,,,20,20,536,,,,
9353e595-3e50-4b7f-a837-3179e90bc280,2022-01-27T09:24:32.688262,87,0,1006.67,21.02,28.04,,19.7,20.1,70.47,,,18.3,18.3,304,,,,
2c00d197-8706-4f91-b693-d69ca3453282,2022-01-27T09:26:11.143925,87,3,1006.71,21.04,28.03,,21.6,20.7,71.62,,,24.3,24.3,245,,,,
127a427b-c41b-4d80-912c-a8071ec1d62e,2022-01-27T09:27:49.007542,85,3,1006.72,21.07,28.03,,22,20.9,72.74,,,19,19,245,,,,
5d92230e-1a76-45f9-a999-e21f7bc46cb4,2022-01-27T09:29:48.274557,82,3,1006.7,21.12,27.95,,20,20.2,71.93,,,25,25,561,,,,
a8a6bf06-2160-4aed-8bf4-51b2c3452a0b,2022-01-27T09:31:50.365690,80,3,1006.66,21.16,27.89,,23.9,21.5,71.28,,,20.4,20.4,536,,,,
1fd97a4f-52b5-44b1-99ca-bbd1265a38f6,2022-01-27T09:33:27.567275,78,3,1006.66,21.2,27.79,,23.9,21.7,73.19,,,20.7,20.7,561,,,,
0baf0a82-b664-49a6-b761-f6d92d635773,2022-01-27T09:35:05.712931,76,3,1006.67,21.25,27.68,,20.2,20.4,72.61,,,20.6,20.6,417,,,,
1757b9d1-20c2-43c3-8d29-1cbe1fdf413b,2022-01-27T09:36:43.234618,75,3,1006.64,21.29,27.62,,23.5,22.1,72.94,,,25.7,25.7,562,,,,
0eae743f-d431-4c83-b376-692607138147,2022-01-27T09:38:33.228034,75,3,1006.6,21.31,27.56,,22.6,22.2,73.03,,,25.4,25.4,329,,,,
ae09f33c-dd60-4295-901a-06d6515f9a09,2022-01-27T09:40:10.703645,75,3,1006.55,21.34,27.57,,20.2,22.5,73.21,,,25.5,25.5,270,,,,
18b87675-a09b-4ebb-b21b-87128e5d0fc0,2022-01-27T09:41:48.417452,75,3,1006.54,21.35,27.51,,20.3,20.4,73.07,,,25.5,25.5,418,,,,
