;uuid;timestamp_start;timestamp_prod_start;timestamp_qual_start;value1;value2;value3;value4;timestamp_end;timestamp_prod_end;timestamp_qual_end;start_date;end_date;source
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;;;2022-01-27 09:16:21.688684;304.0;;;;;;;;;waage
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;;;2022-01-27 09:17:59.504191;304.0;;;;;;;;;waage
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;;;2022-01-27 09:20:07.455048;417.0;;;;;;;;;waage
3;c047f085-5295-487c-983b-822973db31d8;;;2022-01-27 09:21:44.876556;271.0;;;;;;;;;waage
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;;;2022-01-27 09:23:22.772306;536.0;;;;;;;;;waage
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;;;2022-01-27 09:24:59.877861;304.0;;;;;;;;;waage
6;2c00d197-8706-4f91-b693-d69ca3453282;;;2022-01-27 09:26:38.333524;245.0;;;;;;;;;waage
7;127a427b-c41b-4d80-912c-a8071ec1d62e;;;2022-01-27 09:28:16.197141;245.0;;;;;;;;;waage
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;;;2022-01-27 09:30:15.464156;561.0;;;;;;;;;waage
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;;;2022-01-27 09:32:17.555289;536.0;;;;;;;;;waage
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;2022-01-27 09:15:54.499085;2022-01-27 09:16:01.750997;;18.4;19.8;;;2022-01-27 09:16:57.162335;2022-01-27 09:16:11.800704;;27.01.22;27.01.22;heiz
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;2022-01-27 09:17:32.314592;2022-01-27 09:17:39.566504;;19.1;19.9;;;2022-01-27 09:18:34.977842;2022-01-27 09:17:49.616211;;27.01.22;27.01.22;heiz
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;2022-01-27 09:19:40.265449;2022-01-27 09:19:47.517361;;20.0;20.0;;;2022-01-27 09:20:42.928699;2022-01-27 09:19:57.567068;;27.01.22;27.01.22;heiz
3;c047f085-5295-487c-983b-822973db31d8;2022-01-27 09:21:17.686957;2022-01-27 09:21:24.938869;;20.1;20.1;;;2022-01-27 09:22:20.350207;2022-01-27 09:21:34.988576;;27.01.22;27.01.22;heiz
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;2022-01-27 09:22:55.582707;2022-01-27 09:23:02.834619;;21.5;20.3;;;2022-01-27 09:23:58.245957;2022-01-27 09:23:12.884326;;27.01.22;27.01.22;heiz
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;2022-01-27 09:24:32.688262;2022-01-27 09:24:39.940174;;19.7;20.1;;;2022-01-27 09:25:35.351512;2022-01-27 09:24:49.989881;;27.01.22;27.01.22;heiz
6;2c00d197-8706-4f91-b693-d69ca3453282;2022-01-27 09:26:11.143925;2022-01-27 09:26:18.395837;;21.6;20.7;;;2022-01-27 09:27:13.807175;2022-01-27 09:26:28.445544;;27.01.22;27.01.22;heiz
7;127a427b-c41b-4d80-912c-a8071ec1d62e;2022-01-27 09:27:49.007542;2022-01-27 09:27:56.259454;;22.0;20.9;;;2022-01-27 09:28:51.670792;2022-01-27 09:28:06.309161;;27.01.22;27.01.22;heiz
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;2022-01-27 09:29:48.274557;2022-01-27 09:29:55.526469;;20.0;20.2;;;2022-01-27 09:30:50.937807;2022-01-27 09:30:05.576176;;27.01.22;27.01.22;heiz
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;2022-01-27 09:31:50.365690;2022-01-27 09:31:57.617602;;23.9;21.5;;;2022-01-27 09:32:53.028940;2022-01-27 09:32:07.667309;;27.01.22;27.01.22;heiz
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;2022-01-27 09:15:54.499085;;2022-01-27 09:16:21.688684;19.0;19.0;;;2022-01-27 09:16:57.162335;;2022-01-27 09:16:31.809625;27.01.22;27.01.22;qual
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;2022-01-27 09:17:32.314592;;2022-01-27 09:17:59.504191;20.1;20.1;;;2022-01-27 09:18:34.977842;;2022-01-27 09:18:09.625132;27.01.22;27.01.22;qual
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;2022-01-27 09:19:40.265449;;2022-01-27 09:20:07.455048;20.2;20.2;;;2022-01-27 09:20:42.928699;;2022-01-27 09:20:17.575989;27.01.22;27.01.22;qual
3;c047f085-5295-487c-983b-822973db31d8;2022-01-27 09:21:17.686957;;2022-01-27 09:21:44.876556;18.9;18.9;;;2022-01-27 09:22:20.350207;;2022-01-27 09:21:54.997497;27.01.22;27.01.22;qual
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;2022-01-27 09:22:55.582707;;2022-01-27 09:23:22.772306;20.0;20.0;;;2022-01-27 09:23:58.245957;;2022-01-27 09:23:32.893247;27.01.22;27.01.22;qual
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;2022-01-27 09:24:32.688262;;2022-01-27 09:24:59.877861;18.3;18.3;;;2022-01-27 09:25:35.351512;;2022-01-27 09:25:09.998802;27.01.22;27.01.22;qual
6;2c00d197-8706-4f91-b693-d69ca3453282;2022-01-27 09:26:11.143925;;2022-01-27 09:26:38.333524;24.3;24.3;;;2022-01-27 09:27:13.807175;;2022-01-27 09:26:48.454465;27.01.22;27.01.22;qual
7;127a427b-c41b-4d80-912c-a8071ec1d62e;2022-01-27 09:27:49.007542;;2022-01-27 09:28:16.197141;19.0;19.0;;;2022-01-27 09:28:51.670792;;2022-01-27 09:28:26.318082;27.01.22;27.01.22;qual
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;2022-01-27 09:29:48.274557;;2022-01-27 09:30:15.464156;25.0;25.0;;;2022-01-27 09:30:50.937807;;2022-01-27 09:30:25.585097;27.01.22;27.01.22;qual
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;2022-01-27 09:31:50.365690;;2022-01-27 09:32:17.555289;20.4;20.4;;;2022-01-27 09:32:53.028940;;2022-01-27 09:32:27.676230;27.01.22;27.01.22;qual
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;;;2022-01-27 09:16:21.688684;0.0;0.0;;;;;;;;kamera
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;;;2022-01-27 09:17:59.504191;0.0;0.0;;;;;;;;kamera
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;;;2022-01-27 09:20:07.455048;0.0;0.0;;;;;;;;kamera
3;c047f085-5295-487c-983b-822973db31d8;;;2022-01-27 09:21:44.876556;0.0;0.0;;;;;;;;kamera
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;;;2022-01-27 09:23:22.772306;0.0;0.0;;;;;;;;kamera
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;;;2022-01-27 09:24:59.877861;0.0;0.0;;;;;;;;kamera
6;2c00d197-8706-4f91-b693-d69ca3453282;;;2022-01-27 09:26:38.333524;0.0;0.0;;;;;;;;kamera
7;127a427b-c41b-4d80-912c-a8071ec1d62e;;;2022-01-27 09:28:16.197141;0.0;0.0;;;;;;;;kamera
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;;;2022-01-27 09:30:15.464156;0.0;0.0;;;;;;;;kamera
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;;;2022-01-27 09:32:17.555289;0.0;0.0;;;;;;;;kamera
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;;2022-01-27 09:16:01.750997;;18.54;;;;;2022-01-27 09:16:11.800704;;;;couple
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;;2022-01-27 09:17:39.566504;;33.32;;;;;2022-01-27 09:17:49.616211;;;;couple
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;;2022-01-27 09:19:47.517361;;66.63;;;;;2022-01-27 09:19:57.567068;;;;couple
3;c047f085-5295-487c-983b-822973db31d8;;2022-01-27 09:21:24.938869;;69.02;;;;;2022-01-27 09:21:34.988576;;;;couple
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;;2022-01-27 09:23:02.834619;;70.03;;;;;2022-01-27 09:23:12.884326;;;;couple
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;;2022-01-27 09:24:39.940174;;70.47;;;;;2022-01-27 09:24:49.989881;;;;couple
6;2c00d197-8706-4f91-b693-d69ca3453282;;2022-01-27 09:26:18.395837;;71.62;;;;;2022-01-27 09:26:28.445544;;;;couple
7;127a427b-c41b-4d80-912c-a8071ec1d62e;;2022-01-27 09:27:56.259454;;72.74;;;;;2022-01-27 09:28:06.309161;;;;couple
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;;2022-01-27 09:29:55.526469;;71.93;;;;;2022-01-27 09:30:05.576176;;;;couple
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;;2022-01-27 09:31:57.617602;;71.28;;;;;2022-01-27 09:32:07.667309;;;;couple
0;54f145d2-e871-4bb9-8f9f-ee72e2ced9cd;2022-01-27 09:15:54.499085;;;20.89;28.28;92.0;1006.69;;;;;;umgebung
1;a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded;2022-01-27 09:17:32.314592;;;20.92;28.28;92.0;1006.72;;;;;;umgebung
2;3fad8ca6-c3f5-4646-8d13-4d12c23bce4b;2022-01-27 09:19:40.265449;;;20.95;28.12;89.0;1006.71;;;;;;umgebung
3;c047f085-5295-487c-983b-822973db31d8;2022-01-27 09:21:17.686957;;;20.96;28.13;88.0;1006.71;;;;;;umgebung
4;d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc;2022-01-27 09:22:55.582707;;;21.0;28.08;88.0;1006.69;;;;;;umgebung
5,00E+00;9353e595-3e50-4b7f-a837-3179e90bc280;2022-01-27 09:24:32.688262;;;21.02;28.04;87.0;1006.67;;;;;;umgebung
6;2c00d197-8706-4f91-b693-d69ca3453282;2022-01-27 09:26:11.143925;;;21.04;28.03;87.0;1006.71;;;;;;umgebung
7;127a427b-c41b-4d80-912c-a8071ec1d62e;2022-01-27 09:27:49.007542;;;21.07;28.03;85.0;1006.72;;;;;;umgebung
8;5d92230e-1a76-45f9-a999-e21f7bc46cb4;2022-01-27 09:29:48.274557;;;21.12;27.95;82.0;1006.7;;;;;;umgebung
9;a8a6bf06-2160-4aed-8bf4-51b2c3452a0b;2022-01-27 09:31:50.365690;;;21.16;27.89;80.0;1006.66;;;;;;umgebung
